0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:39:35 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:39:36 +0530] "GET /Frontend_Collab/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:39:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:39:38 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:47:03 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:48:14 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:43 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:44 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:53 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:54 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:54 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:54 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:54 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:00:54 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:01:02 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:01:03 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:01:03 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:01:03 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:01:03 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:01:03 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:05:56 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:05:57 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:05:57 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:05:57 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:05:57 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:05:57 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:00 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:01 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:02 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:02 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:02 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:02 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:10 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:35 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:35 +0530] "GET /Frontend_Collab/views/css/login.css HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:48 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:06:53 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:07:54 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:07:56 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:07:58 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:02 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:03 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:04 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:04 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:04 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:04 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:19 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:19 +0530] "GET /Frontend_Collab/css/login.css HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:19 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:19 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:08:27 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:09:47 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:09:47 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:09:49 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:04 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:04 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:04 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:12 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:14 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:39 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:39 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:54 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:10:59 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:05 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:26 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:31 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:33 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:33 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:34 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:34 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:41 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:47 +0530] "PUT /middleware_Collab/login HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:47 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:11:47 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:13:49 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:13:50 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:13:52 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:13:54 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:14:18 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:14:24 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:19:41 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:19:41 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:19:44 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:20:07 +0530] "PUT /middleware_Collab/login HTTP/1.1" 401 102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:20:16 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 304 -
